""" Little Ashes "" - Big impressions !","5"
"I loved it .","4"
"Moved with no expectations .","4"
"Tyler 's Best So Far ...","3"
"Nothing Is Impossible to Survive","4"
"Without the ending ...","3"
"Do n't waste your time ( And do n't say you were n't warned )","1"
"Read it and comment !","4"
"This movie had potential .","1"
"Bleh !","2"
"Amazing","4"
"Breathtaking and heartbreaking in its magnificence","4"
"Emma Roberts","3"
"Thoughtful and funny","4"
"Must-see documentary for anyone who eats","4"
"A Truly Moving Film","5"
"A must-see for the American public","4"
"There is n't anything wrong with a movie being fun","4"
"Fun and watchable ...","4"
"A thrilling movie and Neeson at his best !","5"
"Absolute crap !","1"
"Most dazzling visuals ever , superb .","4"
"Kids and Kids-at-Heart will Surely Enjoy This","3"
"A story of two girls with a bright dream","2"
"Mystic Julia","3"
"Find out what it means to be a South African","4"
""" The ( Untold ) Tillman Story ""","4"
"If pushed , I 'll give it a three/ten","1"
"Will undoubtedly become a cult classic","4"
"Driving blind","4"
"The real Rock is back in action","4"
"I really do n't understand all the hate .","5"
"This is brilliant work .","4"
"A Must-See Documentary That Exposes Truth and Light ,","4"
"Sneaking a "" Watch ""","4"
"Hmmm","3"
"Button , button...oh no !","0"
"What you 're not supposed to know","4"
"A fine bed","3"
"Underrated and Funny Family Entertainment","3"
"Take The Power Back","4"
"Berlin Fantasy Film Fest","3"
"Provoking ...","4"
"Eagle Eye on the cheap","3"
"Worth watching .","3"
"One Foot on Both Sides of the Fence","2"
""" Humpday ""","1"
"A likable but flawed sci-fi tale","3"
"incredibly powerful film","4"
"My 359th Review : Clearly one of the better films of 2010 : Fleck / Boden do it again","4"
""" I 'm not a likable guy ... ""","3"
"Existential puzzle-box movie - not just an escape","4"
"Nothing New","1"
"Did Writers Know When It Jumped The Shark ?","3"
"A hapless , and clueless super hero wannabe has his day .","0"
"What 's there NOT to like ?","5"
"Elegant and Powerful Work of Passionate and Intelligent Beauty","5"
"Oh Thank God ...","4"
"The Box is one film this year that should have been shelved .","2"
"Outstanding","4"
"A wonderful atmosphere , but ...","3"
"Wait ...","4"
"How do you survive when there 's no one around ?","3"
"Simply Brutal","4"
"At best , totally by the numbers ...","2"
"A great movie , plagued by reviewer bias","4"
"Patchwork filmmaking","3"
"exceptional true - unbelievable heartbreaking","4"
